,CHF
2013-05-22,1147.56
2013-05-23,1134.81
2013-05-24,1159.05
2013-05-27,1172.56
2013-05-28,1168.39
2013-05-29,1152.05
2013-05-30,1174.45
2013-05-31,1183.08
2013-06-03,1177.1
2013-06-04,1190.1
2013-06-05,1183.65
2013-06-07,1204.09
2013-06-10,1185.94
2013-06-11,1203.06
2013-06-12,1226.28
2013-06-13,1228.5
2013-06-14,1230.0
2013-06-17,1223.64
2013-06-18,1222.96
2013-06-19,1227.55
2013-06-20,1219.26
2013-06-21,1236.27
2013-06-24,1233.56
2013-06-25,1240.66
2013-06-26,1234.2
2013-06-27,1223.96
2013-06-28,1216.16
2013-07-01,1211.57
2013-07-02,1203.2
2013-07-03,1191.33
2013-07-04,1204.69
2013-07-05,1191.37
2013-07-08,1182.25
2013-07-09,1194.34
2013-07-10,1176.04
2013-07-11,1204.19
2013-07-12,1187.29
2013-07-15,1185.24
2013-07-16,1183.37
2013-07-17,1189.54
2013-07-18,1187.51
2013-07-19,1188.12
2013-07-22,1194.32
2013-07-23,1194.85
2013-07-24,1194.05
2013-07-25,1188.25
2013-07-26,1201.66
2013-07-29,1197.95
2013-07-30,1191.37
2013-07-31,1197.35
2013-08-01,1208.48
2013-08-02,1197.25
2013-08-05,1211.08
2013-08-06,1203.3
2013-08-07,1204.02
2013-08-08,1212.48
2013-08-09,1210.43
2013-08-12,1205.73
2013-08-13,1201.04
2013-08-14,1196.61
2013-08-16,1208.38
2013-08-19,1202.16
2013-08-20,1204.52
2013-08-21,1222.98
2013-08-22,1211.31
2013-08-23,1218.49
2013-08-26,1213.19
2013-08-27,1206.9
2013-08-28,1216.26
2013-08-29,1211.43
2013-08-30,1192.85
2013-09-02,1190.05
2013-09-03,1181.11
2013-09-04,1170.08
2013-09-05,1175.13
2013-09-06,1157.34
2013-09-09,1166.93
2013-09-10,1166.6
2013-09-11,1160.01
2013-09-12,1167.92
2013-09-13,1163.54
2013-09-16,1174.19
2013-09-17,1167.17
2013-09-23,1192.27
2013-09-24,1181.2
2013-09-25,1177.07
2013-09-26,1183.43
2013-09-27,1180.27
2013-09-30,1187.66
2013-10-01,1187.41
2013-10-02,1185.85
2013-10-04,1195.66
2013-10-07,1183.24
2013-10-08,1185.16
2013-10-10,1179.2
2013-10-11,1181.05
2013-10-14,1176.5
2013-10-15,1176.48
2013-10-16,1170.81
2013-10-17,1167.38
2013-10-18,1178.74
2013-10-21,1176.72
2013-10-22,1176.8
2013-10-23,1186.32
2013-10-24,1184.02
2013-10-25,1184.41
2013-10-28,1190.45
2013-10-29,1185.13
2013-10-30,1180.29
2013-10-31,1179.07
2013-11-01,1168.51
2013-11-04,1164.75
2013-11-05,1167.01
2013-11-06,1162.43
2013-11-07,1164.41
2013-11-08,1157.46
2013-11-11,1152.1
2013-11-12,1161.6
2013-11-13,1166.94
2013-11-14,1173.72
2013-11-15,1164.16
2013-11-18,1165.6
2013-11-19,1161.77
2013-11-20,1158.95
2013-11-21,1152.54
2013-11-22,1162.32
2013-11-25,1170.77
2013-11-26,1163.7
2013-11-27,1169.08
2013-11-28,1168.52
2013-11-29,1172.36
2013-12-02,1168.05
2013-12-03,1163.84
2013-12-04,1173.49
2013-12-05,1175.84
2013-12-06,1183.16
2013-12-09,1186.52
2013-12-10,1182.2
2013-12-11,1185.85
2013-12-12,1186.64
2013-12-13,1184.64
2013-12-16,1184.06
2013-12-17,1186.43
2013-12-18,1188.4
2013-12-19,1174.35
2013-12-20,1178.15
2013-12-23,1185.55
2013-12-24,1187.2
2013-12-26,1183.94
2013-12-27,1181.64
2013-12-30,1184.27
2013-12-31,1188.67
2014-01-02,1183.74
2014-01-03,1167.89
2014-01-06,1164.17
2014-01-07,1174.81
2014-01-08,1174.42
2014-01-09,1170.01
2014-01-10,1173.59
2014-01-13,1177.88
2014-01-14,1174.8
2014-01-15,1172.35
2014-01-16,1169.12
2014-01-17,1176.3
2014-01-20,1164.27
2014-01-21,1168.67
2014-01-22,1168.94
2014-01-23,1171.75
2014-01-24,1194.25
2014-01-27,1204.92
2014-01-28,1209.39
2014-01-29,1198.98
2014-02-03,1181.64
2014-02-04,1200.51
2014-02-05,1201.17
2014-02-06,1194.01
2014-02-07,1194.61
2014-02-10,1196.95
2014-02-11,1195.05
2014-02-12,1193.37
2014-02-13,1182.28
2014-02-14,1190.78
2014-02-17,1190.8
2014-02-18,1190.04
2014-02-19,1198.45
2014-02-20,1200.74
2014-02-21,1204.72
2014-02-24,1209.54
2014-02-25,1210.62
2014-02-26,1207.06
2014-02-27,1201.19
2014-02-28,1201.82
2014-03-03,1212.97
2014-03-04,1213.65
2014-03-05,1207.62
2014-03-06,1206.58
2014-03-07,1212.95
2014-03-10,1210.73
2014-03-11,1214.35
2014-03-12,1212.76
2014-03-13,1223.34
2014-03-14,1220.03
2014-03-17,1228.65
2014-03-18,1224.84
2014-03-19,1222.97
2014-03-20,1214.5
2014-03-21,1216.95
2014-03-24,1224.55
2014-03-25,1225.61
2014-03-26,1221.2
2014-03-27,1214.41
2014-03-28,1209.81
2014-03-31,1204.55
2014-04-01,1205.52
2014-04-02,1200.75
2014-04-03,1192.13
2014-04-04,1187.68
2014-04-07,1183.7
2014-04-08,1186.46
2014-04-09,1192.06
2014-04-10,1185.79
2014-04-11,1182.18
2014-04-14,1182.34
2014-04-15,1180.57
2014-04-16,1182.91
2014-04-17,1181.21
2014-04-18,1174.52
2014-04-21,1174.5
2014-04-22,1172.9
2014-04-23,1174.95
2014-04-24,1176.7
2014-04-25,1178.08
2014-04-28,1179.23
2014-04-29,1178.25
2014-04-30,1167.74
2014-05-02,1173.96
2014-05-07,1179.19
2014-05-08,1170.31
2014-05-09,1162.8
2014-05-12,1153.72
2014-05-13,1154.67
2014-05-14,1149.33
2014-05-15,1151.49
2014-05-16,1152.46
2014-05-19,1149.55
2014-05-20,1146.14
2014-05-21,1148.03
2014-05-22,1149.46
2014-05-23,1146.44
2014-05-26,1143.57
2014-05-27,1144.15
2014-05-28,1141.42
2014-05-29,1138.5
2014-05-30,1137.77
2014-06-02,1139.22
2014-06-03,1139.23
2014-06-05,1141.79
2014-06-09,1144.81
2014-06-10,1133.85
2014-06-11,1130.64
2014-06-12,1129.76
2014-06-13,1132.51
2014-06-16,1130.48
2014-06-17,1136.38
2014-06-18,1136.49
2014-06-19,1141.34
2014-06-20,1139.23
2014-06-23,1138.96
2014-06-24,1138.64
2014-06-25,1138.64
2014-06-26,1143.02
2014-06-27,1138.28
2014-06-30,1138.43
2014-07-01,1141.36
2014-07-02,1140.18
2014-07-03,1135.76
2014-07-04,1130.19
2014-07-07,1127.26
2014-07-08,1130.34
2014-07-09,1132.36
2014-07-10,1135.84
2014-07-11,1133.59
2014-07-14,1140.81
2014-07-15,1142.07
2014-07-16,1142.78
2014-07-17,1149.68
2014-07-18,1146.99
2014-07-21,1149.24
2014-07-22,1144.34
2014-07-23,1135.54
2014-07-24,1133.17
2014-07-25,1138.93
2014-07-28,1137.9
2014-07-29,1134.01
2014-07-30,1129.89
2014-07-31,1126.84
2014-08-01,1129.31
2014-08-04,1140.82
2014-08-05,1137.74
2014-08-06,1133.43
2014-08-07,1139.6
2014-08-08,1138.02
2014-08-11,1145.54
2014-08-12,1136.65
2014-08-13,1133.24
2014-08-14,1132.77
2014-08-18,1134.18
2014-08-19,1122.48
2014-08-20,1119.36
2014-08-21,1117.57
2014-08-22,1123.5
2014-08-25,1111.84
2014-08-26,1114.07
2014-08-27,1109.54
2014-08-28,1108.91
2014-08-29,1107.64
2014-09-01,1104.59
2014-09-02,1103.16
2014-09-03,1104.99
2014-09-04,1110.22
