,AUD
2013-09-10,1004.41
2013-09-11,1009.77
2013-09-12,1013.56
2013-09-13,1003.26
2013-09-16,1012.69
2013-09-17,1008.56
2013-09-23,1019.49
2013-09-24,1013.82
2013-09-25,1008.26
2013-09-26,1008.58
2013-09-27,1006.39
2013-09-30,1000.74
2013-10-01,1001.33
2013-10-02,1009.44
2013-10-04,1011.25
2013-10-07,1011.38
2013-10-08,1008.79
2013-10-10,1014.71
2013-10-11,1016.75
2013-10-14,1010.18
2013-10-15,1018.15
2013-10-16,1015.47
2013-10-17,1018.49
2013-10-18,1024.38
2013-10-21,1026.43
2013-10-22,1025.1
2013-10-23,1030.49
2013-10-24,1017.73
2013-10-25,1017.03
2013-10-28,1018.59
2013-10-29,1012.52
2013-10-30,1006.16
2013-10-31,1004.62
2013-11-01,1002.29
2013-11-04,1004.05
2013-11-05,1009.84
2013-11-06,1009.06
2013-11-07,1011.45
2013-11-08,1003.1
2013-11-11,996.82
2013-11-12,1000.01
2013-11-13,995.4
2013-11-14,1003.59
2013-11-15,993.98
2013-11-18,998.96
2013-11-19,994.14
2013-11-20,995.67
2013-11-21,985.63
2013-11-22,980.24
2013-11-25,974.07
2013-11-26,973.58
2013-11-27,967.74
2013-11-28,963.3
2013-11-29,964.71
2013-12-02,964.6
2013-12-03,963.56
2013-12-04,969.44
2013-12-05,958.53
2013-12-06,961.47
2013-12-09,965.03
2013-12-10,957.16
2013-12-11,962.77
2013-12-12,951.13
2013-12-13,940.67
2013-12-16,942.58
2013-12-17,941.34
2013-12-18,937.41
2013-12-19,930.37
2013-12-20,937.26
2013-12-23,947.21
2013-12-24,947.21
2013-12-26,946.14
2013-12-27,941.44
2013-12-30,934.42
2013-12-31,939.96
2014-01-02,938.64
2014-01-03,935.28
2014-01-06,943.79
2014-01-07,952.58
2014-01-08,952.14
2014-01-09,947.73
2014-01-10,947.09
2014-01-13,955.14
2014-01-14,956.66
2014-01-15,948.33
2014-01-16,946.58
2014-01-17,938.31
2014-01-20,931.24
2014-01-21,937.03
2014-01-22,936.92
2014-01-23,945.21
2014-01-24,938.56
2014-01-27,936.79
2014-01-28,946.85
2014-01-29,948.72
2014-02-03,938.28
2014-02-04,947.57
2014-02-05,968.58
2014-02-06,963.02
2014-02-07,963.49
2014-02-10,962.27
2014-02-11,958.65
2014-02-12,967.91
2014-02-13,959.93
2014-02-14,955.81
2014-02-17,961.39
2014-02-18,958.59
2014-02-19,960.03
2014-02-20,960.18
2014-02-21,966.05
2014-02-24,962.36
2014-02-25,972.22
2014-02-26,964.5
2014-02-27,958.74
2014-02-28,956.98
2014-03-03,948.92
2014-03-04,957.64
2014-03-05,959.65
2014-03-06,961.61
2014-03-07,970.75
2014-03-10,962.5
2014-03-11,962.19
2014-03-12,955.02
2014-03-13,961.64
2014-03-14,964.72
2014-03-17,966.78
2014-03-18,972.06
2014-03-19,974.89
2014-03-20,967.11
2014-03-21,971.91
2014-03-24,983.18
2014-03-25,985.93
2014-03-26,987.79
2014-03-27,990.77
2014-03-28,993.41
2014-03-31,988.75
2014-04-01,988.81
2014-04-02,980.33
2014-04-03,977.2
2014-04-04,976.84
2014-04-07,981.22
2014-04-08,976.19
2014-04-09,984.91
2014-04-10,978.52
2014-04-11,975.39
2014-04-14,973.49
2014-04-15,978.44
2014-04-16,974.3
2014-04-17,975.59
2014-04-18,967.72
2014-04-21,968.74
2014-04-22,968.67
2014-04-23,973.69
2014-04-24,965.28
2014-04-25,962.3
2014-04-28,963.16
2014-04-29,960.04
2014-04-30,956.08
2014-05-02,956.85
2014-05-07,963.97
2014-05-08,956.63
2014-05-09,959.02
2014-05-12,957.58
2014-05-13,959.4
2014-05-14,957.13
2014-05-15,960.41
2014-05-16,960.86
2014-05-19,960.87
2014-05-20,954.03
2014-05-21,945.96
2014-05-22,949.08
2014-05-23,945.75
2014-05-26,946.25
2014-05-27,946.7
2014-05-28,947.87
2014-05-29,944.42
2014-05-30,950.7
2014-06-02,949.58
2014-06-03,945.7
2014-06-05,950.35
2014-06-09,955.01
2014-06-10,951.52
2014-06-11,952.77
2014-06-12,953.58
2014-06-13,959.2
2014-06-16,956.46
2014-06-17,958.13
2014-06-18,954.64
2014-06-19,961.46
2014-06-20,957.2
2014-06-23,956.69
2014-06-24,959.94
2014-06-25,953.36
2014-06-26,959.47
2014-06-27,957.4
2014-06-30,955.26
2014-07-01,954.61
2014-07-02,960.5
2014-07-03,952.65
2014-07-04,943.77
2014-07-07,944.03
2014-07-08,946.58
2014-07-09,951.34
2014-07-10,952.89
2014-07-11,950.28
2014-07-14,955.39
2014-07-15,956.83
2014-07-16,958.9
2014-07-17,967.23
2014-07-18,961.34
2014-07-21,969.68
2014-07-22,962.46
2014-07-23,962.3
2014-07-24,965.32
2014-07-25,968.07
2014-07-28,967.28
2014-07-29,964.71
2014-07-30,961.68
2014-07-31,955.06
2014-08-01,954.78
2014-08-04,962.06
2014-08-05,963.04
2014-08-06,958.85
2014-08-07,966.97
2014-08-08,958.89
2014-08-11,962.19
2014-08-12,954.75
2014-08-13,953.03
2014-08-14,956.39
2014-08-18,954.85
2014-08-19,948.65
2014-08-20,946.64
2014-08-21,948.06
2014-08-22,952.84
2014-08-25,948.03
2014-08-26,947.37
2014-08-27,948.06
2014-08-28,947.38
2014-08-29,948.32
2014-09-01,947.31
2014-09-02,946.75
2014-09-03,942.38
2014-09-04,952.16
2014-09-05,951.27
2014-09-11,938.53
2014-09-12,941.77
2014-09-15,935.45
2014-09-16,938.33
2014-09-17,940.27
2014-09-18,925.29
2014-09-19,935.37
2014-09-22,934.3
2014-09-23,924.04
2014-09-24,922.57
2014-09-25,922.41
2014-09-26,917.54
2014-09-29,911.79
2014-09-30,916.07
2014-10-01,922.49
2014-10-02,927.96
2014-10-06,918.81
2014-10-07,937.97
