,IDR(100)
2013-08-07,10.83
2013-08-08,10.86
2013-08-09,10.83
2013-08-12,10.81
2013-08-13,10.82
2013-08-14,10.85
2013-08-16,10.82
2013-08-19,10.74
2013-08-20,10.62
2013-08-21,10.5
2013-08-22,10.38
2013-08-23,10.39
2013-08-26,10.37
2013-08-27,10.26
2013-08-28,10.21
2013-08-29,10.21
2013-08-30,10.16
2013-09-02,10.16
2013-09-03,10.06
2013-09-04,9.9
2013-09-05,9.89
2013-09-06,9.83
2013-09-09,9.8
2013-09-10,9.75
2013-09-11,9.66
2013-09-12,9.58
2013-09-13,9.54
2013-09-16,9.51
2013-09-17,9.51
2013-09-23,9.56
2013-09-24,9.4
2013-09-25,9.37
2013-09-26,9.38
2013-09-27,9.38
2013-09-30,9.32
2013-10-01,9.28
2013-10-02,9.34
2013-10-04,9.32
2013-10-07,9.3
2013-10-08,9.29
2013-10-10,9.31
2013-10-11,9.36
2013-10-14,9.42
2013-10-15,9.44
2013-10-16,9.4
2013-10-17,9.39
2013-10-18,9.39
2013-10-21,9.37
2013-10-22,9.37
2013-10-23,9.4
2013-10-24,9.38
2013-10-25,9.48
2013-10-28,9.64
2013-10-29,9.6
2013-10-30,9.56
2013-10-31,9.5
2013-11-01,9.4
2013-11-04,9.38
2013-11-05,9.35
2013-11-06,9.35
2013-11-07,9.31
2013-11-08,9.31
2013-11-11,9.32
2013-11-12,9.24
2013-11-13,9.24
2013-11-14,9.25
2013-11-15,9.25
2013-11-18,9.18
2013-11-19,9.12
2013-11-20,9.1
2013-11-21,9.06
2013-11-22,9.07
2013-11-25,9.08
2013-11-26,9.03
2013-11-27,9.01
2013-11-28,8.93
2013-11-29,8.84
2013-12-02,8.85
2013-12-03,8.99
2013-12-04,8.93
2013-12-05,8.85
2013-12-06,8.87
2013-12-09,8.85
2013-12-10,8.8
2013-12-11,8.78
2013-12-12,8.77
2013-12-13,8.76
2013-12-16,8.69
2013-12-17,8.7
2013-12-18,8.67
2013-12-19,8.65
2013-12-20,8.67
2013-12-23,8.7
2013-12-24,8.7
2013-12-26,8.69
2013-12-27,8.68
2013-12-30,8.61
2013-12-31,8.64
2014-01-02,8.67
2014-01-03,8.64
2014-01-06,8.66
2014-01-07,8.72
2014-01-08,8.73
2014-01-09,8.71
2014-01-10,8.74
2014-01-13,8.74
2014-01-14,8.77
2014-01-15,8.78
2014-01-16,8.79
2014-01-17,8.78
2014-01-20,8.78
2014-01-21,8.79
2014-01-22,8.77
2014-01-23,8.8
2014-01-24,8.81
2014-01-27,8.84
2014-01-28,8.86
2014-01-29,8.85
2014-02-03,8.77
2014-02-04,8.84
2014-02-05,8.9
2014-02-06,8.85
2014-02-07,8.83
2014-02-10,8.84
2014-02-11,8.81
2014-02-12,8.83
2014-02-13,8.81
2014-02-14,8.88
2014-02-17,8.98
2014-02-18,9.0
2014-02-19,8.99
2014-02-20,9.07
2014-02-21,9.07
2014-02-24,9.14
2014-02-25,9.24
2014-02-26,9.18
2014-02-27,9.19
2014-02-28,9.15
2014-03-03,9.18
2014-03-04,9.25
2014-03-05,9.25
2014-03-06,9.24
2014-03-07,9.3
2014-03-10,9.29
2014-03-11,9.38
2014-03-12,9.34
2014-03-13,9.36
2014-03-14,9.38
2014-03-17,9.44
2014-03-18,9.47
2014-03-19,9.43
2014-03-20,9.46
2014-03-21,9.4
2014-03-24,9.46
2014-03-25,9.49
2014-03-26,9.46
2014-03-27,9.42
2014-03-28,9.37
2014-03-31,9.41
2014-04-01,9.38
2014-04-02,9.37
2014-04-03,9.36
2014-04-04,9.35
2014-04-07,9.33
2014-04-08,9.32
2014-04-09,9.33
2014-04-10,9.24
2014-04-11,9.12
2014-04-14,9.09
2014-04-15,9.08
2014-04-16,9.11
2014-04-17,9.11
2014-04-18,9.08
2014-04-21,9.08
2014-04-22,9.07
2014-04-23,9.02
2014-04-24,8.94
2014-04-25,8.95
2014-04-28,8.98
2014-04-29,8.96
2014-04-30,8.93
2014-05-02,8.93
2014-05-07,8.95
2014-05-08,8.86
2014-05-09,8.85
2014-05-12,8.87
2014-05-13,8.9
2014-05-14,8.87
2014-05-15,8.95
2014-05-16,8.97
2014-05-19,8.99
2014-05-20,8.96
2014-05-21,8.91
2014-05-22,8.92
2014-05-23,8.89
2014-05-26,8.82
2014-05-27,8.84
2014-05-28,8.84
2014-05-29,8.79
2014-05-30,8.78
2014-06-02,8.74
2014-06-03,8.7
2014-06-05,8.61
2014-06-09,8.64
2014-06-10,8.64
2014-06-11,8.61
2014-06-12,8.61
2014-06-13,8.63
2014-06-16,8.63
2014-06-17,8.63
2014-06-18,8.59
2014-06-19,8.53
2014-06-20,8.53
2014-06-23,8.52
2014-06-24,8.49
2014-06-25,8.49
2014-06-26,8.44
2014-06-27,8.41
2014-06-30,8.46
2014-07-01,8.54
2014-07-02,8.53
2014-07-03,8.48
2014-07-04,8.47
2014-07-07,8.5
2014-07-08,8.63
2014-07-09,8.7
2014-07-10,8.71
2014-07-11,8.74
2014-07-14,8.79
2014-07-15,8.73
2014-07-16,8.72
2014-07-17,8.83
2014-07-18,8.81
2014-07-21,8.88
2014-07-22,8.88
2014-07-23,8.83
2014-07-24,8.89
2014-07-25,8.89
2014-07-28,8.89
2014-07-29,8.86
2014-07-30,8.85
2014-07-31,8.85
2014-08-01,8.86
2014-08-04,8.76
2014-08-05,8.77
2014-08-06,8.81
2014-08-07,8.8
2014-08-08,8.77
2014-08-11,8.81
2014-08-12,8.83
2014-08-13,8.8
2014-08-14,8.79
2014-08-18,8.78
2014-08-19,8.71
2014-08-20,8.72
2014-08-21,8.73
2014-08-22,8.76
2014-08-25,8.73
2014-08-26,8.71
2014-08-27,8.69
2014-08-28,8.69
2014-08-29,8.66
2014-09-01,8.68
2014-09-02,8.66
2014-09-03,8.65
2014-09-04,8.66
2014-09-05,8.65
2014-09-11,8.67
2014-09-12,8.75
2014-09-15,8.78
2014-09-16,8.71
2014-09-17,8.65
2014-09-18,8.65
2014-09-19,8.69
2014-09-22,8.73
2014-09-23,8.69
2014-09-24,8.7
2014-09-25,8.7
2014-09-26,8.7
2014-09-29,8.67
2014-09-30,8.63
2014-10-01,8.66
2014-10-02,8.76
2014-10-06,8.71
2014-10-07,8.76
2014-10-08,8.74
2014-10-10,8.8
2014-10-13,8.76
2014-10-14,8.75
2014-10-15,8.71
2014-10-16,8.72
2014-10-17,8.65
2014-10-20,8.78
2014-10-21,8.81
2014-10-22,8.79
2014-10-23,8.77
2014-10-24,8.75
2014-10-27,8.78
2014-10-28,8.69
2014-10-29,8.63
2014-10-30,8.67
2014-10-31,8.69
2014-11-03,8.76
2014-11-04,8.88
2014-11-05,8.92
2014-11-06,8.88
2014-11-07,8.97
2014-11-10,8.98
2014-11-11,8.93
2014-11-12,8.93
2014-11-13,9.01
2014-11-14,8.99
2014-11-17,9.0
2014-11-18,8.99
2014-11-19,9.04
2014-11-20,9.09
2014-11-21,9.14
2014-11-24,9.14
2014-11-25,9.15
2014-11-26,9.15
2014-11-27,9.09
2014-11-28,9.04
2014-12-01,9.05
2014-12-02,9.1
2014-12-03,9.02
2014-12-04,9.06
2014-12-05,9.07
2014-12-08,9.05
2014-12-09,9.06
2014-12-10,9.02
2014-12-11,8.95
2014-12-12,8.89
2014-12-15,8.86
2014-12-16,8.69
2014-12-17,8.62
2014-12-18,8.6
2014-12-19,8.78
2014-12-22,8.82
2014-12-23,8.82
2014-12-24,8.84
2014-12-26,8.86
2014-12-29,8.82
2014-12-30,8.82
2014-12-31,8.83
2015-01-02,8.88
2015-01-05,8.79
2015-01-06,8.78
2015-01-07,8.72
2015-01-08,8.63
2015-01-09,8.66
2015-01-12,8.63
2015-01-13,8.6
2015-01-14,8.59
2015-01-15,8.56
2015-01-16,8.63
2015-01-19,8.56
2015-01-20,8.56
2015-01-21,8.62
2015-01-22,8.71
2015-01-23,8.69
2015-01-26,8.69
2015-01-27,8.63
2015-01-28,8.67
2015-01-29,8.67
2015-01-30,8.68
2015-02-02,8.65
2015-02-03,8.68
2015-02-04,8.68
2015-02-05,8.63
2015-02-06,8.62
