,KWD
2014-06-30,3599.33
2014-07-01,3595.13
2014-07-02,3589.73
2014-07-03,3581.87
2014-07-04,3579.13
2014-07-07,3576.01
2014-07-08,3581.46
2014-07-09,3585.82
2014-07-10,3590.0
2014-07-11,3588.3
2014-07-14,3609.29
2014-07-15,3610.68
2014-07-16,3628.08
2014-07-17,3659.07
2014-07-18,3646.02
2014-07-21,3654.04
2014-07-22,3638.71
2014-07-23,3626.0
2014-07-24,3618.48
2014-07-25,3635.08
2014-07-28,3637.97
2014-07-29,3624.02
2014-07-30,3619.82
2014-07-31,3615.09
2014-08-01,3622.95
2014-08-04,3645.57
2014-08-05,3644.3
2014-08-06,3638.03
2014-08-07,3652.58
2014-08-08,3650.09
2014-08-11,3661.58
2014-08-12,3637.71
2014-08-13,3629.98
2014-08-14,3626.97
2014-08-18,3615.81
2014-08-19,3587.75
2014-08-20,3587.41
2014-08-21,3593.58
2014-08-22,3607.19
2014-08-25,3584.36
2014-08-26,3588.1
2014-08-27,3576.32
2014-08-28,3568.26
2014-08-29,3562.62
2014-09-01,3563.93
2014-09-02,3562.07
2014-09-03,3563.13
2014-09-04,3575.84
